CH_CLOSING_PRICE,CH_SYMBOL,Percentage_Diff,Greater_Than_30
1216.5,360ONE,,False
1201.85,360ONE,-1.2042745581586578,False
1148.95,360ONE,-4.401547614094925,False
1141.45,360ONE,-0.6527699203620729,False
1127.4,360ONE,-1.2308905339699416,False
1198.4,360ONE,6.2976760688309374,False
1211.1,360ONE,1.059746328437905,False
1199.3,360ONE,-0.974320865329037,False
1186.6,360ONE,-1.0589510547819647,False
1242.4,360ONE,4.702511377043672,False
1251.85,360ONE,0.7606245975531056,False
1240.8,360ONE,-0.8826936134520902,False
1225.35,360ONE,-1.2451644100580306,False
1249.5,360ONE,1.9708654670094417,False
1232.7,360ONE,-1.3445378151260456,False
1236.35,360ONE,0.29609799626835187,False
1256.25,360ONE,1.609576576212235,False
1250.9,360ONE,-0.4258706467661577,False
1270.95,360ONE,1.6028459509153326,False
1254.8,360ONE,-1.27070301742791,False
1276.7,360ONE,1.745298055467015,False
1292.9,360ONE,1.2688963734628356,False
1297.15,360ONE,0.32871838502590567,False
1257.9,360ONE,-3.0258643950198505,False
1217.3,360ONE,-3.227601558152482,False
1175.85,360ONE,-3.4050768093321304,False
1166.55,360ONE,-0.7909172088276573,False
1129.1,360ONE,-3.210321032103214,False
1101.95,360ONE,-2.404570011513585,False
1126.5,360ONE,2.227868778075237,False
1193.45,360ONE,5.943186861961824,False
1198.95,360ONE,0.46084879969834347,False
1183.7,360ONE,-1.2719462863338804,False
1090.5,360ONE,-7.873616625834257,False
1076.6,360ONE,-1.2746446584135818,False
1037.7,360ONE,-3.6132268251903965,False
1036.45,360ONE,-0.120458706755322,False
1056.2,360ONE,1.9055429591393613,False
1036.15,360ONE,-1.8983147131225064,False
1046.45,360ONE,0.9940645659412217,False
1051.15,360ONE,0.44913756032300967,False
1038.75,360ONE,-1.1796603719735566,False
1016.8,360ONE,-2.1131167268351403,False
1050.4,360ONE,3.3044846577498177,False
1048.05,360ONE,-0.22372429550648887,False
